Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Description__c,Private__c,Resource_Type__c,Source__c,Url__c,Valid_Until__c
a003F000004oiAmQAI,0053F000008l8McQAI,,Integration Patterns and Practices,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,,2021-03-10T21:02:23.000+0000,2021-03-10T21:02:23.000+0000,"This document is for designers and architects who need to integrate the Lightning Platform with other applications in their enterprise.
This content is a distillation of many successful implementations by Salesforce architects and partners.
Read the pattern summary and selection matrix if you’re considering large-scale adoption of Salesforce-based applications (or the
Lightning Platform) to become familiar with the integration capabilities and options available. Architects and developers should consider
these pattern details and best practices during the design and implementation phase of a Salesforce integration project.
If implemented properly, these patterns enable you to get to production as fast as possible and have the most stable, scalable, and
maintenance-free set of applications possible. Salesforce’s own consulting architects use these patterns as reference points during
architectural reviews and are actively engaged in maintaining and improving them.
As with all patterns, this content covers most integration scenarios, but not all. While Salesforce allows for user interface (UI)
integration—mashups, for example—such integration is outside the scope of this document. If you feel that your requirements are
outside the bounds of what these patterns describe, speak with your Salesforce representative.",,Documentation,Sam Mital,https://resources.docs.salesforce.com/sfdc/pdf/integration_patterns_and_practices.pdf,
a003F000004oiAnQAI,0053F000008l8McQAI,,Platform Pillar Owner Program (Platform POP),2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,,2021-03-10T21:02:23.000+0000,2021-03-10T21:02:23.000+0000,"The Platform Pillar Owner Program is a collaboration between the Platform Solution Engineering and Platform Product Management organizations. Platform SE's are assigned ownership over Pillars that align to Platform services or technology areas. The Platform SE's help PM's scale knowledge to the broader PSE organization by coordinating monthly calls, a Product Strategy Review (PSR) before each major release, and arranging their section on the by-release Product Council.",,Portal,CDG,https://sites.google.com/salesforce.com/platform-pop/home,
a003F000004oiAoQAI,0053F000008l8McQAI,,FY21 Mid/MFG/NL Technical Architect Alignment,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,,2021-03-10T21:02:23.000+0000,2021-03-10T21:02:23.000+0000,Bret's Team Alignment by Core SE,,Documentation,Bret Brizzee,https://docs.google.com/spreadsheets/d/1vgBdvq7hB4S1zgA8fUFh0IE0UeTcsZ3zv0ImAd_bXEE/edit?ts=5e67ce71#gid=0,2021-01-31
a003F000004oiApQAI,0053F000008l8McQAI,,G4G Hub,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,,2021-03-10T21:02:23.000+0000,2021-03-10T21:02:23.000+0000,Global Incentive Compensation Portal - Go for Growth Hub,,Portal,,https://sites.google.com/salesforce.com/fy21go-for-growth/home,
a003F000004oiAqQAI,0053F000008l8McQAI,,"FY21 SE++ Mapping Doc - Mid Commercial, New Logo, MfG - Org",2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,,2021-03-10T21:02:23.000+0000,2021-03-10T21:02:23.000+0000,Bret's team alignment - Comprehensive,,Documentation,,https://salesforce.quip.com/EUdaAWMge01f,2021-01-31
a003F000004oiArQAI,0053F000008l8McQAI,,Anne’s SHARING AND VISIBILITY DESIGNER certification notes,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,,2021-03-10T21:02:23.000+0000,2021-03-10T21:02:23.000+0000,,,Documentation,Org62 - Anne Sand,https://docs.google.com/document/d/1DFokGyZbvErKiWqU0WnD4ayhwi18Y4UWmIq7hcJcSrY/edit,
a003F000004oiAsQAI,0053F000008l8McQAI,,Focus on Force: Sharing and Visibility Designer,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,,2021-03-12T01:10:19.000+0000,2021-03-12T01:10:19.000+0000,,,Portal,Focus On Force,https://focusonforce.com/salesforce-certifications/sharing-visibility-designer/,
a003F000004oiAtQAI,0053F000008l8McQAI,,User License Comparison,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,,2021-03-10T21:02:23.000+0000,2021-03-10T21:02:23.000+0000,Please STOP COPYING user license comparisons and posting them. Refer to this authoritative version from Roger Wang:,,Licensing / Pricing (SKU),Org62,https://org62.my.salesforce.com/06930000001At7j,
a003F000004oiAuQAI,0053F000008l8McQAI,,Flow Demo - Multi-step Import Flow,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,,2021-03-10T21:02:23.000+0000,2021-03-10T21:02:23.000+0000,"Recently I worked on a demo that involved building an Invokable Flow to process a set of data uploaded into a queue table (called Fileback). I doubt this exact use case will match perfectly for what your customers ask for, but if you'd like to see a flow in action that loops through a queue, and validates data against standard objects and updates the queue status accordingly, this may be the flow for you!",,Code,Jonathan's Demo he built with Lori,https://org62.lightning.force.com/lightning/r/0D50M00004hkn6aSAA/view,
a003F000004oiAvQAI,0053F000008l8McQAI,,Spring '20 Release Notes,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,0053F000008l8McQAI,2021-03-10T21:02:22.000+0000,,2021-03-10T21:02:23.000+0000,2021-03-10T21:02:23.000+0000,,,Documentation,,https://releasenotes.docs.salesforce.com/en-us/spring20/release-notes/salesforce_release_notes.htm,
